2016-12-27 13:50:40,021 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: training:training:1.0.0-BUILD-SNAPSHOT @ D:\spring\mvc\spring-mvc\src\SpringMVC_4\pom.xml.
2016-12-27 13:50:53,059 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /training/src/main/java
2016-12-27 13:50:53,061 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /training/src/main/resources overlaps with sources folder /training/src/main/resources
2016-12-27 13:50:53,068 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /training/src/test/java
2016-12-27 13:50:53,071 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /training/src/test/resources overlaps with sources folder /training/src/test/resources
2016-12-27 13:50:53,185 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: training:training:1.0.0-BUILD-SNAPSHOT @ D:\spring\mvc\spring-mvc\src\SpringMVC_4\pom.xml.
2016-12-27 13:51:03,092 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 33 sec
2016-12-27 13:51:15,608 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: training:training:1.0.0-BUILD-SNAPSHOT @ D:\spring\mvc\spring-mvc\src\SpringMVC_4\pom.xml.
2016-12-27 13:51:22,245 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-27 13:51:22,366 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-27 13:51:22,434 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-27 13:51:22,449 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-27 13:51:45,398 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: training:training:1.0.0-BUILD-SNAPSHOT @ D:\spring\mvc\spring-mvc\src\SpringMVC_4\pom.xml.
2016-12-27 13:51:48,633 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: training:training:1.0.0-BUILD-SNAPSHOT @ D:\spring\mvc\spring-mvc\src\SpringMVC_4\pom.xml.
2016-12-27 13:51:50,829 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-27 13:51:50,841 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-27 13:51:50,868 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-27 13:51:50,876 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-27 13:51:52,869 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: training:training:1.0.0-BUILD-SNAPSHOT @ D:\spring\mvc\spring-mvc\src\SpringMVC_4\pom.xml.
2016-12-27 13:52:09,841 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-27 13:52:09,902 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-27 13:52:09,933 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-27 13:52:09,945 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-27 13:52:37,112 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-27 13:52:37,126 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-27 13:52:37,147 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
